Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
Lejos del mundanal ruido,2015,Reino Unido,"6,4",5.435,Thomas Vinterberg,"Carey Mulligan, Matthias Schoenaerts, Michael Sheen, Tom Sturridge, Bradley Hall, Juno Temple, Sam Phillips, Tilly Vosburgh",https://www.filmaffinity.com/es/film559444.html
La ley del más fuerte,2013,Estados Unidos,"6,4",5.740,Scott Cooper,"Christian Bale, Casey Affleck, Woody Harrelson, Willem Dafoe, Forest Whitaker, Sam Shepard, Zoe Saldana, Boyd Holbrook",https://www.filmaffinity.com/es/film621147.html
Sentimental,2020,España,"6,4",8.558,Cesc Gay,"Javier Cámara, Griselda Siciliani, Belén Cuesta, Alberto San Juan",https://www.filmaffinity.com/es/film523417.html
El olivo,2016,España,"6,4",10.433,Icíar Bollaín,"Anna Castillo, Javier Gutiérrez, Pep Ambròs, Manuel Cucala, Miguel Angel Aladren, Carme Pla, Ana Isabel Mena, María Romero",https://www.filmaffinity.com/es/film127204.html
Misántropo,2023,Estados Unidos,"6,4",1.292,Damián Szifrón,"Shailene Woodley, Ben Mendelsohn, Jovan Adepo, Ralph Ineson, Dusan Dukic, Mark Camacho, Richard Zeman, Nick Walker",https://www.filmaffinity.com/es/film934348.html
Los ilusos,2013,España,"6,4",1.951,Jonás Trueba,"Francesco Carril, Aura Garrido, Vito Sanz, Mikele Urroz, Isabelle Stoffel, Luis Miguel Madrid",https://www.filmaffinity.com/es/film514763.html
El final de la gira,2015,Estados Unidos,"6,4",2.213,James Ponsoldt,"Jesse Eisenberg, Jason Segel, Anna Chlumsky, Joan Cusack, Mamie Gummer, Mickey Sumner, Chelsea Anne Lawrence, Noel Fletcher",https://www.filmaffinity.com/es/film836679.html
"El gangster, el policía y el diablo",2019,Corea del Sur,"6,4",2.435,Lee Won-Tae,"Ma Dong-seok, Kim Mu-yeol, Kim Sung-kyun, Cha Soon-bae, Kim Gyu-ri, Yoo Seung-mok, Jeon Bae-su, Heo Dong-won, Park Bo-Kyung",https://www.filmaffinity.com/es/film209627.html
Who Am I: Ningún sistema es seguro,2014,Alemania,"6,4",2.518,Baran bo Odar,"Tom Schilling, Elyas M'Barek, Wotan Wilke Möhring, Antoine Monot Jr., Tijan Marei, Hannah Herzsprung, Stephan Kampwirth, Trine Dyrholm",https://www.filmaffinity.com/es/film604935.html
La profesora de Historia,2014,Francia,"6,4",3.058,Marie-Castille Mention-Schaar,"Ariane Ascaride, Ahmed Dramé, Geneviève Mnich, Xavier Maly, Martin Cannavo, Noémie Merlant, Stéphane Bak, Léon Zyguel",https://www.filmaffinity.com/es/film819890.html
El hombre perfecto,2015,Francia,"6,4",3.712,Yann Gozlan,"Pierre Niney, Ana Girardot, Ludovic Berthillot, Valeria Cavalli, Marc Barbe, André Marcon, Laurent Grévill, Thibault Vinçon",https://www.filmaffinity.com/es/film227224.html
Malcolm & Marie,2021,Estados Unidos,"6,4",4.176,Sam Levinson,"Zendaya, John David Washington",https://www.filmaffinity.com/es/film520375.html
The Square,2017,Suecia,"6,4",11.833,Ruben Östlund,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary, Christopher Læssø, Marina Schiptjenko, Elijandro Edouard, Daniel Hallberg",https://www.filmaffinity.com/es/film664294.html
Noticias del gran mundo,2020,Estados Unidos,"6,4",12.001,Paul Greengrass,"Tom Hanks, Helena Zengel, Neil Sandilands, Elizabeth Marvel, Ray McKinnon, Mare Winningham, Bill Camp, Chukwudi Iwuji",https://www.filmaffinity.com/es/film356887.html
Sicario: El día del soldado,2018,Estados Unidos,"6,4",12.621,Stefano Sollima,"Benicio del Toro, Josh Brolin, Matthew Modine, Catherine Keener, Isabela Merced, Jeffrey Donovan, Elijah Rodriguez, Christopher Heyerdahl",https://www.filmaffinity.com/es/film108537.html
First Man (El primer hombre),2018,Estados Unidos,"6,4",17.895,Damien Chazelle,"Ryan Gosling, Jason Clarke, Claire Foy, Kyle Chandler, Corey Stoll, Patrick Fugit, Lukas Haas, Pablo Schreiber",https://www.filmaffinity.com/es/film996587.html
El único superviviente,2013,Estados Unidos,"6,4",19.203,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Ben Foster, Emile Hirsch, Alexander Ludwig, Eric Bana, Jerry Ferrara, Scott Elrod",https://www.filmaffinity.com/es/film168511.html
El hoyo,2019,España,"6,4",39.079,Galder Gaztelu-Urrutia,"Iván Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale, Alexandra Masangkay, Eric Goode, Algis Arlauskas, Miriam Martín, Óscar Oliver",https://www.filmaffinity.com/es/film427424.html
El Francotirador,2014,Estados Unidos,"6,4",47.632,Clint Eastwood,"Bradley Cooper, Sienna Miller, Luke Grimes, Jake McDorman, Kyle Gallner, Keir O'Donnell, Eric Close, Sam Jaeger",https://www.filmaffinity.com/es/film941942.html
Noche en el paraíso,2020,Corea del Sur,"6,4",1.047,Park Hoon-jung,"Cha Seung-won, Eom Tae-gu, Jeon Yeo-been, Lee Ki-young, Bong-sik Hyun, Park Ho-san, Dong-in Cho, Lee Moon-sik, Son Byung-ho",https://www.filmaffinity.com/es/film939402.html
Sick of Myself,2022,Noruega,"6,4",1.138,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager, Fredrik Stenberg Ditlev-Simonsen, Anders Danielsen Lie, Sarah Francesca Brænne, Ingrid Vollan, Henrik Mestad",https://www.filmaffinity.com/es/film262298.html
En un muelle de Normandía,2021,Francia,"6,4",1.205,Emmanuel Carrère,"Juliette Binoche, Didier Pupin, Emily Madeleine, Evelyne Porée, Hélène Lambert, Léa Carne, Louise Pociecka, Steve Papagiannis",https://www.filmaffinity.com/es/film115715.html
