Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
Creed. La leyenda de Rocky,2015,Estados Unidos,"6,6",24.537,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, Will Blagrove, J.P. Veizaga, Andre Ward, Tony Bellew",https://www.filmaffinity.com/es/film943315.html
No mires arriba,2021,Estados Unidos,"6,6",42.935,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Jonah Hill, Rob Morgan, Mark Rylance, Tyler Perry",https://www.filmaffinity.com/es/film521393.html
Múltiple,2016,Estados Unidos,"6,6",45.693,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Brad William Henke, Haley Lu Richardson, Sebastian Arcelus, Lyne Renee, Neal Huff",https://www.filmaffinity.com/es/film992586.html
La comunidad de los corazones rotos,2015,Francia,"6,6",1.111,Samuel Benchetrit,"Isabelle Huppert, Gustave Kervern, Michael Pitt, Valeria Bruni Tedeschi, Jules Benchetrit, Tassadit Mandi",https://www.filmaffinity.com/es/film653628.html
O los tres o ninguno,2015,Francia,"6,6",1.717,Kheiron,"Kheiron, Leïla Bekhti, Gérard Darmon, Zabou Breitman, Alexandre Astier, Kyan Khojandi, Arsène Mosca, Jonathan Cohen",https://www.filmaffinity.com/es/film755494.html
A Esmorga,2014,España,"6,6",2.848,Ignacio Vilar,"Karra Elejalde, Ledicia Sola, Miguel de Lira, Antonio Durán, Sabela Arán, Monti Castiñeiras, Mela Casal, Santi Prego",https://www.filmaffinity.com/es/film579014.html
Pearl,2022,Estados Unidos,"6,6",5.810,Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland, Todd Rippon, Emma Jenkins-Purro, Amelia Reid, Alistair Sewell",https://www.filmaffinity.com/es/film104117.html
Tigre blanco,2021,India,"6,6",5.880,Ramin Bahrani,"Adarsh Gourav, Priyanka Chopra, Rajkummar Rao, Perrie Kapernaros, Abhishek Khandekar, Nalneesh Neel, Aaron Wan, Vedant Sinha",https://www.filmaffinity.com/es/film523672.html
Juegos sucios,2013,Estados Unidos,"6,6",6.127,E.L. Katz,"Pat Healy, Ethan Embry, Sara Paxton, David Koechner, Amanda Fuller, Brighton Sharbino",https://www.filmaffinity.com/es/film859400.html
Hostiles,2017,Estados Unidos,"6,6",6.422,Scott Cooper,"Christian Bale, Rosamund Pike, Wes Studi, Jesse Plemons, Rory Cochrane, Adam Beach, Ben Foster, Timothée Chalamet",https://www.filmaffinity.com/es/film794926.html
Un día perfecto,2015,España,"6,6",16.235,Fernando León de Aranoa,"Tim Robbins, Benicio del Toro, Olga Kurylenko, Mélanie Thierry, Fedja Stukan, Eldar Residovic, Sergi López",https://www.filmaffinity.com/es/film577820.html
Un monstruo viene a verme,2016,España,"6,6",37.941,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Geraldine Chaplin, James Melville, Garry Marriott",https://www.filmaffinity.com/es/film269350.html
Los reyes del mundo,2022,Colombia,"6,6",1.779,Laura Mora Ortega,"Carlos Andrés Castañeda, Davison Florez, Cristian Campaña, Brahian Acevedo, Cristian David Duque, Violeta Zabala, Jacqueline Duque",https://www.filmaffinity.com/es/film975411.html
Big Fish & Begonia,2016,China,"6,6",1.881,"Liang Xuan, Zhang Chun",,https://www.filmaffinity.com/es/film952739.html
Forgotten,2017,Corea del Sur,"6,6",4.053,Jang Hang-jun,"Kang Ha-neul, Kim Mu-yeol, Moon Sung-keun, Na Young-hee, Lee Eun-woo, Jung Taek-hyun, Lee Soon-won",https://www.filmaffinity.com/es/film470210.html
Al otro lado de la ley,2018,Estados Unidos,"6,6",6.168,S. Craig Zahler,"Mel Gibson, Vince Vaughn, Tory Kittles, Laurie Holden, Jennifer Carpenter, Don Johnson, Michael Jai White, Udo Kier",https://www.filmaffinity.com/es/film438253.html
Climax,2018,Francia,"6,6",9.773,Gaspar Noé,"Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile, Claude Gajan Maull, Giselle Palmer, Taylor Kastle, Thea Carla Schott",https://www.filmaffinity.com/es/film509136.html
La odisea de los giles,2019,Argentina,"6,6",10.756,Sebastián Borensztein,"Ricardo Darín, Luis Brandoni, Chino Darín, Verónica Llinás, Daniel Aráoz, Carlos Belloso, Rita Cortese, Andrés Parra",https://www.filmaffinity.com/es/film988821.html
El hijo de Saúl,2015,Hungría,"6,6",12.278,László Nemes,"Géza Röhrig, Levente Molnár, Urs Rechn, Sándor Zsótér, Todd Charmont, Björn Freiberg, Uwe Lauer, Attila Fritz",https://www.filmaffinity.com/es/film697248.html
Raya y el último dragón,2021,Estados Unidos,"6,6",12.808,"Don Hall, Carlos López Estrada, Paul Briggs",,https://www.filmaffinity.com/es/film145565.html
El médico,2013,Alemania,"6,6",18.634,Philipp Stölzl,"Tom Payne, Stellan Skarsgård, Olivier Martínez, Emma Rigby, Ben Kingsley, Michael Jibson, Elyas M'Barek, Makram Khoury",https://www.filmaffinity.com/es/film356759.html
Bajo la misma estrella,2014,Estados Unidos,"6,6",18.870,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell, Willem Dafoe, Lotte Verbeek, Ana Dela Cruz",https://www.filmaffinity.com/es/film550582.html
Diamantes en bruto,2019,Estados Unidos,"6,6",19.645,"Ben Safdie, Joshua Safdie","Adam Sandler, Julia Fox, Kevin Garnett, Idina Menzel, Lakeith Stanfield, Eric Bogosian, Judd Hirsch, The Weeknd",https://www.filmaffinity.com/es/film360338.html
Los renglones torcidos de Dios,2022,España,"6,6",20.493,Oriol Paulo,"Bárbara Lennie, Eduard Fernández, Loreto Mauleón, Pablo Derqui, Javier Beltrán, Samuel Soler, Federico Aguado, Lluís Soler",https://www.filmaffinity.com/es/film927664.html
Un lugar tranquilo,2018,Estados Unidos,"6,6",35.469,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe, Cade Woodward, Leon Russom, Doris McCarthy",https://www.filmaffinity.com/es/film594338.html
Gru 2. Mi villano favorito,2013,Estados Unidos,"6,6",38.794,"Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Miranda Cosgrove, Elsie Fisher, Dana Gaier, Benjamin Bratt, Steve Coogan",https://www.filmaffinity.com/es/film655560.html
Blue Jean,2022,Reino Unido,"6,6",1.098,Georgia Oakley,"Rosy McEwen, Kerrie Hayes, Lydia Page, Lucy Halliday, Stacy Abalogun, Deka Walmsley, Gavin Kitchen, Farrah Cave",https://www.filmaffinity.com/es/film185176.html
La desaparición de Eleanor Rigby: Ella,2013,Estados Unidos,"6,6",1.327,Ned Benson,"Jessica Chastain, James McAvoy, Ciarán Hinds, Viola Davis, Bill Hader, Nina Arianda, Isabelle Huppert, Nikki M. James",https://www.filmaffinity.com/es/film612447.html
La mirada del hijo (Madre e hijo),2013,Rumanía,"6,6",2.002,Calin Peter Netzer,"Luminita Gheorghiu, Bogdan Dumitrache, Florin Zamfirescu, Natasa Raab, Ilinca Goia, Adrian Titieni, Vlad Ivanov",https://www.filmaffinity.com/es/film423275.html
The Innocents,2021,Noruega,"6,6",5.637,Eskil Vogt,"Rakel Lenora Fløttum, Sam Ashraf, Alva Brynsmo Ramstad, Kadra Yusuf, Ellen Dorrit Petersen, Morten Svartveit, Mina Yasmin Bremseth Asheim, Marius Kolbenstvedt",https://www.filmaffinity.com/es/film897184.html
El mayordomo,2013,Estados Unidos,"6,6",25.715,Lee Daniels,"Forest Whitaker, Oprah Winfrey, David Oyelowo, Cuba Gooding Jr., John Cusack, Terrence Howard, Lenny Kravitz, James Marsden",https://www.filmaffinity.com/es/film647978.html
Lobo,2014,Jordania,"6,6",1.220,Naji Abu Nowar,"Jacir Eid, Hassan Mutlag, Hussein Salameh, Marji Audeh, Jack Fox",https://www.filmaffinity.com/es/film523944.html
Aguas tranquilas,2014,Japón,"6,6",1.400,Naomi Kawase,"Nijiro Murakami, Jun Yoshinaga, Makiko Watanabe, Hideo Sakaki, Tetta Sugimoto, Miyuki Matsuda, Jun Murakami, Fujio Tokita",https://www.filmaffinity.com/es/film507577.html
Lean on Pete,2017,Reino Unido,"6,6",1.461,Andrew Haigh,"Charlie Plummer, Travis Fimmel, Steve Buscemi, Chloë Sevigny, Steve Zahn, Thomas Mann, Amy Seimetz, Justin Rain",https://www.filmaffinity.com/es/film935056.html
Amante por un día,2017,Francia,"6,6",1.677,Philippe Garrel,"Eric Caravaca, Esther Garrel, Louise Chevillotte, Paul Toucang, Félix Kysyl, Laetitia Spigarelli",https://www.filmaffinity.com/es/film448883.html
Palmer,2021,Estados Unidos,"6,6",2.218,Fisher Stevens,"Justin Timberlake, Ryder Allen, Juno Temple, Alisha Wainwright, June Squibb, Dean Winters, Wynn Everett, Jesse C. Boyd",https://www.filmaffinity.com/es/film544668.html
Un gato callejero llamado Bob,2016,Reino Unido,"6,6",2.261,Roger Spottiswoode,"Luke Treadaway, Ruta Gedmintas, Joanne Froggatt, Anthony Head, Darren Evans, Tony Jayawardena, Adam Riches, Llewella Gideon",https://www.filmaffinity.com/es/film360344.html
Brigsby Bear,2017,Estados Unidos,"6,6",2.609,Dave McCary,"Kyle Mooney, Matt Walsh, Michaela Watkins, Ryan Simpkins, Greg Kinnear, Claire Danes, Mark Hamill, Jane Adams",https://www.filmaffinity.com/es/film724359.html
En un barrio de Nueva York,2021,Estados Unidos,"6,6",2.707,Jon M. Chu,"Anthony Ramos, Corey Hawkins, Melissa Barrera, Leslie Grace, Jimmy Smits, Gregory Diaz IV, Stephanie Beatriz, Daphne Rubin-Vega",https://www.filmaffinity.com/es/film970588.html
Remember,2015,Canadá,"6,6",2.709,Atom Egoyan,"Christopher Plummer, Dean Norris, Martin Landau, Henry Czerny, Jürgen Prochnow, Bruno Ganz, Peter DaCunha, James Cade",https://www.filmaffinity.com/es/film253783.html
‘71,2014,Reino Unido,"6,6",8.480,Yann Demange,"Jack O'Connell, Paul Anderson, Valene Kane, Sean Harris, Barry Keoghan, Sam Reid, Charlie Murphy, Richard Dormer",https://www.filmaffinity.com/es/film902165.html
Loreak (Flores),2014,España,"6,6",9.348,"Jon Garaño, José Mari Goenaga","Nagore Aranburu, Itziar Aizpuru, Itziar Ituño, Josean Bengoetxea, Ane Gabaraín, Egoitz Lasa, Jox Berasategui, Gotzon Sánchez, José Ramón Soroiz",https://www.filmaffinity.com/es/film810299.html
La reina de Katwe,2016,Estados Unidos,"6,6",1.302,Mira Nair,"Lupita Nyong'o, David Oyelowo, Madina Nalwanga, Charity Rose Pimer, Ntare Mwine, Taryn Kyaze, Esther Tebandeke, Peter Odeke, Nikita Waligwa",https://www.filmaffinity.com/es/film604566.html
A Hard Day,2014,Corea del Sur,"6,6",1.606,Kim Seong-hoon,"Lee Sun-Kyun, Cho Jin-woong, Jeong Man-shik, Shin Jung-geun, Shin Dong-mi, Park Bo-gum, Dong-yeong Kim, Ju Seok-tae",https://www.filmaffinity.com/es/film460177.html
X+Y,2014,Reino Unido,"6,6",1.824,Morgan Matthews,"Asa Butterfield, Rafe Spall, Sally Hawkins, Eddie Marsan, Jo Yang, Martin McCann, Jake Davies, Alex Lawther",https://www.filmaffinity.com/es/film962307.html
Gracias a Dios,2018,Francia,"6,6",2.402,François Ozon,"Melvil Poupaud, Denis Ménochet, François Marthouret, Josiane Balasko, Eric Caravaca, Swann Arlaud, Hélène Vincent, Aurélia Petit",https://www.filmaffinity.com/es/film183835.html
Entre dos aguas,2018,España,"6,6",2.762,Isaki Lacuesta,"Israel Gómez Romero, Francisco José Gómez Romero, Rocío Rendón, Yolanda Carmona, Lorrein Galea, Manuel González del Tanago",https://www.filmaffinity.com/es/film716085.html
Broker,2022,Corea del Sur,"6,6",2.850,Hirokazu Koreeda,"Lee Ji-Eun, Song Kang-ho, Gang Dong-won, Bae Doona, Lee Joo-young, Bek Hyun-jin, Ryu Kyung-Soo, Kang Gil-woo",https://www.filmaffinity.com/es/film893654.html
Salyut-7: Héroes en el espacio,2017,Rusia,"6,6",3.767,Klim Shipenko,"Vladimir Vdovichenkov, Pavel Derevyanko, Lyubov Novikova, Ilya Andryukov, Oksana Fandera, Vasiliy Ignatich, Vitali Khayev, Sergey Korenkov",https://www.filmaffinity.com/es/film470126.html
Los días que vendrán,2019,España,"6,6",4.153,Carlos Marqués-Marcet,"David Verdaguer, Maria Rodríguez Soto, Albert Prat, Sergi Torrecilla, Míriam Alamany, Xavier de Gispert, Lupe Verdaguer Rodríguez",https://www.filmaffinity.com/es/film205885.html
El monstruo marino,2022,Estados Unidos,"6,6",5.301,Chris Williams,"Zaris-Angel Hator, Karl Urban, Jared Harris, Marianne Jean-Baptiste",https://www.filmaffinity.com/es/film201801.html
Techo y comida,2015,España,"6,6",5.619,Juan Miguel del Castillo,"Natalia de Molina, Mariana Cordero, Jaime López, Montse Torrent, Mercedes Hoyos, Gaspar Campuzano, Natalia Roig, Manuel Tallafé",https://www.filmaffinity.com/es/film560429.html
Selma,2014,Estados Unidos,"6,6",7.918,Ava DuVernay,"David Oyelowo, Tom Wilkinson, Carmen Ejogo, Tim Roth, Giovanni Ribisi, Common, Oprah Winfrey, Lorraine Toussaint",https://www.filmaffinity.com/es/film583944.html
Cómo entrenar a tu dragón 3,2019,Estados Unidos,"6,6",9.304,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler, Craig Ferguson, Jonah Hill",https://www.filmaffinity.com/es/film735785.html
La ladrona de libros,2013,Estados Unidos,"6,6",26.197,Brian Percival,"Sophie Nélisse, Geoffrey Rush, Emily Watson, Nico Liersch, Ben Schnetzer, Sandra Nedeleff, Hildegard Schroedter, Gotthard Lange",https://www.filmaffinity.com/es/film824161.html
Lady Bird,2017,Estados Unidos,"6,6",26.821,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Lucas Hedges, John Karna, Beanie Feldstein, Tracy Letts, Timothée Chalamet, Danielle Macdonald",https://www.filmaffinity.com/es/film600146.html
Buscando a Dory,2016,Estados Unidos,"6,6",29.478,"Andrew Stanton, Angus MacLane","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson, Ty Burrell, Diane Keaton, Eugene Levy",https://www.filmaffinity.com/es/film533699.html
El inmortal: Una película de Gomorra,2019,Italia,"6,6",1.326,Marco D'Amore,"Marco D'Amore, Giuseppe Aiello, Salvatore D'Onofrio, Giovanni Vastarella, Marianna Robustelli, Martina Attanasio, Gennaro Di Colandrea, Nello Mascia",https://www.filmaffinity.com/es/film903840.html
La caída del imperio americano,2018,Canadá,"6,6",2.335,Denys Arcand,"Alexandre Landry, Maripier Morin, Rémy Girard, Louis Morissette, Maxim Roy, Pierre Curzi, Vincent Leclerc, Yan England",https://www.filmaffinity.com/es/film286882.html
Después de la tormenta,2016,Japón,"6,6",2.491,Hirokazu Koreeda,"Hiroshi Abe, Kirin Kiki, Yoko Maki, Lily Franky, Isao Hashizume, Sôsuke Ikematsu, Satomi Kobayashi, Taiyô Yoshizawa",https://www.filmaffinity.com/es/film968604.html
Conexión Marsella,2014,Francia,"6,6",2.591,Cédric Jimenez,"Jean Dujardin, Gilles Lellouche, Céline Sallette, Benoît Magimel, Guillaume Gouix, Bruno Todeschini, Féodor Atkine, Moussa Maaskri",https://www.filmaffinity.com/es/film755691.html
Blue Jay,2016,Estados Unidos,"6,6",3.062,Alexandre Lehmann,"Mark Duplass, Sarah Paulson, Clu Gulager, Cindy Greer, Ana Iovine, Bill Greer, James Andrews",https://www.filmaffinity.com/es/film715279.html
Una mujer fantástica,2017,Chile,"6,6",7.141,Sebastián Lelio,"Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim, Amparo Noguera, Alejandro Goic, Antonia Zegers",https://www.filmaffinity.com/es/film750940.html
100 metros,2016,España,"6,6",9.052,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, María de Medeiros, Clara Segura, David Verdaguer, Bruno Bergonzini, Alba Ribas",https://www.filmaffinity.com/es/film913240.html
Dungeons & Dragons: Honor entre ladrones,2023,Estados Unidos,"6,6",9.933,"John Francis Daley, Jonathan M. Goldstein","Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith, Hugh Grant, Sophia Lillis, Chloe Coleman, Jason Wong",https://www.filmaffinity.com/es/film363637.html
Última noche en el Soho,2021,Reino Unido,"6,6",15.900,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Terence Stamp, Diana Rigg, Rita Tushingham, Sam Claflin, Synnove Karlsen",https://www.filmaffinity.com/es/film822303.html
Carmina y amén.,2014,España,"6,6",16.716,Paco León,"Carmina Barrios, María León, Paco Casaus, Yolanda Ramos, Estefanía de los Santos, Manolo Solo, Mari Paz Sayago, Teresa Casanova, Alejandro León",https://www.filmaffinity.com/es/film267203.html
El sacrificio de un ciervo sagrado,2017,Reino Unido,"6,6",19.113,Yorgos Lanthimos,"Colin Farrell, Nicole Kidman, Barry Keoghan, Raffey Cassidy, Sunny Suljic, Alicia Silverstone, Bill Camp, Barry G. Bernson",https://www.filmaffinity.com/es/film839710.html
El faro,2019,Estados Unidos,"6,6",22.747,Robert Eggers,"Willem Dafoe, Robert Pattinson",https://www.filmaffinity.com/es/film824461.html
Avatar: El sentido del agua,2022,Estados Unidos,"6,6",24.319,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Kate Winslet, Stephen Lang, Cliff Curtis, Joel David Moore, Giovanni Ribisi",https://www.filmaffinity.com/es/film899895.html
Langosta,2015,Grecia,"6,6",30.021,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman, Ashley Jensen, Ariane Labed, Angeliki Papoulia, John C. Reilly",https://www.filmaffinity.com/es/film376613.html
Ha nacido una estrella,2018,Estados Unidos,"6,6",30.035,Bradley Cooper,"Bradley Cooper, Lady Gaga, Sam Elliott, Rafi Gavron, Andrew Dice Clay, Anthony Ramos, Bonnie Somerville, Dave Chappelle",https://www.filmaffinity.com/es/film684177.html
Capitán América: El Soldado de Invierno,2014,Estados Unidos,"6,6",42.623,"Anthony Russo, Joe Russo","Chris Evans, Scarlett Johansson, Anthony Mackie, Samuel L. Jackson, Robert Redford, Sebastian Stan, Frank Grillo, Cobie Smulders",https://www.filmaffinity.com/es/film654236.html
El amanecer del planeta de los simios,2014,Estados Unidos,"6,6",46.892,Matt Reeves,"Jason Clarke, Gary Oldman, Andy Serkis, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Enrique Murciano, Kirk Acevedo",https://www.filmaffinity.com/es/film613575.html
Sieranevada,2016,Rumanía,"6,6",1.202,Cristi Puiu,"Mimi Branescu, Bogdan Dumitrache, Catalina Moga, Dana Dogaru, Petra Kurtela, Sorin Medeleni, Tatiana Iekel, Marian Ralea",https://www.filmaffinity.com/es/film665172.html
Una oración antes del amanecer,2017,Reino Unido,"6,6",1.382,Jean-Stéphane Sauvaire,"Joe Cole, Vithaya Pansringarm, Billy Moore, Somlock Kamsing, Pornchanok Mabklang, Sakda Niamhom, Komsan Polsan, Chaloemporn Sawatsuk",https://www.filmaffinity.com/es/film846022.html
La muerte de Luis XIV,2016,Francia,"6,6",1.662,Albert Serra,"Jean-Pierre Léaud, Patrick D'Assumçao, Marc Susini, Bernard Belin, Irène Silvagni, Vicenç Altaió, Filipe Duarte",https://www.filmaffinity.com/es/film944313.html
Timbuktu,2014,Mauritania,"6,6",4.666,Abderrahmane Sissako,"Abel Jafri, Hichem Yacoubi, Kettly Noël, Toulou Kiki, Ibrahim Ahmed, Layla Walet Mohamed, Mehdi A.G. Mohamed, Fatoumata Diawara",https://www.filmaffinity.com/es/film933021.html
Dragon Ball Super: Broly,2018,Japón,"6,6",4.932,Tatsuya Nagamine,,https://www.filmaffinity.com/es/film418996.html
En la sombra,2017,Alemania,"6,6",5.475,Fatih Akin,"Diane Kruger, Numan Acar, Ulrich Brandhoff, Hanna Hilsdorf, Ulrich Tukur, Johannes Krisch, Siir Eloglu, Rafael Santana",https://www.filmaffinity.com/es/film244943.html
Bone Tomahawk,2015,Estados Unidos,"6,6",15.591,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Lili Simmons, Richard Jenkins, Sean Young, David Arquette, Kathryn Morris",https://www.filmaffinity.com/es/film468323.html
Okja,2017,Corea del Sur,"6,6",18.561,Bong Joon-ho,"Ahn Seo-Hyun, Tilda Swinton, Jake Gyllenhaal, Paul Dano, Devon Bostick, Lily Collins, Giancarlo Esposito, Steven Yeun",https://www.filmaffinity.com/es/film341933.html
Sully,2016,Estados Unidos,"6,6",25.980,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Anna Gunn, Autumn Reeser, Sam Huntington, Jerry Ferrara, Jeff Kober",https://www.filmaffinity.com/es/film650789.html
El himno del corazón,2015,Japón,"6,6",1.021,Tatsuyuki Nagai,,https://www.filmaffinity.com/es/film218521.html
El orden divino,2017,Suiza,"6,6",1.051,Petra Biondina Volpe,"Marie Leuenberger, Maximilian Simonischek, Rachel Braunschweig, Sibylle Brunner, Marta Zoffoli, Bettina Stucky, Noe Krejcí, Finn Sutter",https://www.filmaffinity.com/es/film128377.html
Lo tuyo y tú,2016,Corea del Sur,"6,6",1.286,Hong Sang-soo,"Kim Ju-hyuk, Lee You-young, Kwon Hae-hyo, Yoo Joon-sang, Kim Eui-sung, Gong Min-Jung",https://www.filmaffinity.com/es/film112667.html
El odio que das,2018,Estados Unidos,"6,6",1.405,George Tillman Jr.,"Amandla Stenberg, Russell Hornsby, Lamar Johnson, Issa Rae, K.J. Apa, Regina Hall, Anthony Mackie, Sabrina Carpenter",https://www.filmaffinity.com/es/film342651.html
The Tribe,2014,Ucrania,"6,6",1.970,Miroslav Slaboshpitsky,"Grigoriy Fesenko, Yana Novikova, Rosa Babiy, Alexander Dsiadevich, Yaroslav Biletskiy, Ivan Tishko, Alexander Osadchiy, Alexander Sidelnikov, Alexander Panivan",https://www.filmaffinity.com/es/film116429.html
La fiesta de despedida,2014,Israel,"6,6",2.267,"Tal Granit, Sharon Maymon","Ze'ev Revach, Aliza Rosen, Levana Finkelstein, Raffi Tavor, Ilan Dar, Yosef Carmon, Hilla Sarjon",https://www.filmaffinity.com/es/film941495.html
Una bolsa de canicas,2017,Francia,"6,6",2.460,Christian Duguay,"Dorian Le Clech, Batyste Fleurial, Patrick Bruel, Elsa Zylberstein, Christian Clavier, César Domboy, Ilian Bergala, Kev Adams",https://www.filmaffinity.com/es/film681417.html
Unicorn Wars,2022,España,"6,6",2.549,Alberto Vázquez,,https://www.filmaffinity.com/es/film463404.html
Ema,2019,Chile,"6,6",3.173,Pablo Larraín,"Mariana Di Girolamo, Gael García Bernal, Santiago Cabrera, Giannina Fruttero, Catalina Saavedra, Eduardo Paxeco, Mariana Loyola, Paola Giannini",https://www.filmaffinity.com/es/film207758.html
Convicto (Starred Up),2013,Reino Unido,"6,6",6.373,David Mackenzie,"Jack O'Connell, Ben Mendelsohn, Rupert Friend, Sam Spruell, David Ajala, Peter Ferdinando, Anthony Welsh, Ashley Chin",https://www.filmaffinity.com/es/film723741.html
En los márgenes,2022,España,"6,6",8.104,Juan Diego Botto,"Penélope Cruz, Luis Tosar, Adelfa Calvo, Christian Checa, Aixa Villagrán, Juan Diego Botto, Font García, Nur Levi",https://www.filmaffinity.com/es/film382560.html
Palm Springs,2020,Estados Unidos,"6,6",13.285,Max Barbakow,"Andy Samberg, Cristin Milioti, J.K. Simmons, Meredith Hagner, Tyler Hoechlin, Camila Mendes, Peter Gallagher, Dale Dickey",https://www.filmaffinity.com/es/film357802.html
Bullet Train,2022,Estados Unidos,"6,6",20.618,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Logan Lerman",https://www.filmaffinity.com/es/film142416.html
Stoker,2013,Estados Unidos,"6,6",27.369,Park Chan-wook,"Mia Wasikowska, Matthew Goode, Nicole Kidman, Jacki Weaver, Dermot Mulroney, Lucas Till, Ralph Brown, Alden Ehrenreich",https://www.filmaffinity.com/es/film266403.html
Hereditary,2018,Estados Unidos,"6,6",28.241,Ari Aster,"Toni Collette, Gabriel Byrne, Alex Wolff, Milly Shapiro, Ann Dowd, Christy Summerhays, Morgan Lund, Jarrod Phillips",https://www.filmaffinity.com/es/film118012.html
Corazones de acero,2014,Estados Unidos,"6,6",39.596,David Ayer,"Brad Pitt, Logan Lerman, Shia LaBeouf, Jon Bernthal, Michael Peña, Jason Isaacs, Xavier Samuel, Scott Eastwood",https://www.filmaffinity.com/es/film391687.html
Hive (Colmena),2021,Kosovo,"6,6",1.023,Blerta Basholli,"Yllka Gashi, Qun Lajçi, Aurita Agushi, Kumrije Hoxha, Adriana Matoshi, Arta Lahu, Molikë Maxhuni, Blerta Ismaili",https://www.filmaffinity.com/es/film204886.html
R.M.N.,2022,Rumanía,"6,6",1.033,Cristian Mungiu,"Marin Grigore, Judith State, Macrina Barladeanu, Orsolya Moldován, Rácz Endre, József Bíró, Ovidiu Crisan, Zoltán Deák",https://www.filmaffinity.com/es/film981868.html
Al descubierto,2022,Estados Unidos,"6,6",2.326,Maria Schrader,"Zoe Kazan, Carey Mulligan, Patricia Clarkson, André Braugher, Jennifer Ehle, Ashley Judd, Angela Yeoh, Maren Heary",https://www.filmaffinity.com/es/film136806.html
Libertad,2021,España,"6,6",2.933,Clara Roquet,"María Morera, Nicolle García, Nora Navas, Vicky Peña, Carol Hurtado, Maria Rodríguez Soto, David Selvas, Òscar Muñoz",https://www.filmaffinity.com/es/film555900.html
Living,2022,Reino Unido,"6,6",3.074,Oliver Hermanus,"Bill Nighy, Aimee Lou Wood, Tom Burke, Alex Sharp, Adrian Rawlins, Hubert Burton, Oliver Chris, Michael Cochrane",https://www.filmaffinity.com/es/film604433.html
Hotel Bombay,2018,Australia,"6,6",3.917,Anthony Maras,"Armie Hammer, Dev Patel, Jason Isaacs, Nazanin Boniadi, Angus McLaren, Anupam Kher, Natasha Liu Bordizzo, Tilda Cobham-Hervey",https://www.filmaffinity.com/es/film205413.html
El año más violento,2014,Estados Unidos,"6,6",13.053,J.C. Chandor,"Oscar Isaac, Jessica Chastain, Albert Brooks, David Oyelowo, Christopher Abbott, Peter Gerety, Elyes Gabel, Catalina Sandino Moreno",https://www.filmaffinity.com/es/film822202.html
Nymphomaniac. Volumen 2,2013,Dinamarca,"6,6",16.039,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Shia LaBeouf, Willem Dafoe, Jamie Bell, Uma Thurman, Connie Nielsen, Christian Slater",https://www.filmaffinity.com/es/film369334.html
Western,2017,Alemania,"6,5",1.113,Valeska Grisebach,"Meinhard Neumann, Reinhardt Wetrek, Waldemar Zang, Detlef Schaich, Veneta Fragnova, Syuleyman Alilov Letifov",https://www.filmaffinity.com/es/film180775.html
El banquero,2020,Estados Unidos,"6,5",1.890,George Nolfi,"Samuel L. Jackson, Anthony Mackie, Nicholas Hoult, Jessie T. Usher, Nia Long, Colm Meaney, Paul Ben-Victor, Michael Harney",https://www.filmaffinity.com/es/film900776.html
Minúsculos: El valle de las hormigas perdidas,2013,Francia,"6,5",2.006,"Thomas Szabo, Hélène Giraud",,https://www.filmaffinity.com/es/film479325.html
Thelma,2017,Noruega,"6,5",6.340,Joachim Trier,"Eili Harboe, Kaya Wilkins, Ellen Dorrit Petersen, Henrik Rafaelsen, Anders Mossling, Grethe Eltervåg, Ingrid Jørgensen Dragland, Vanessa Borgli",https://www.filmaffinity.com/es/film223888.html
